text,emotion
aku doa sesiapa lalui mcm berat sentiasa tabah kuatkan aku susah sgt sgt camni bahagian hidup kite bersabarlah aku pon nipis je sabar ni tpi tiada daya ni allah,worry
disgust i need life back,worry
i want sleep takut kerja pulak,worry
but choose keep silent,worry
sad cannot person downfall,worry
cripple insecure much life,worry
decide,worry
semoga siapkan report malam ni even laugh clown face,worry
cane eh cam dah takde passion nak ni sksksksk,worry
i even understand,worry
baru kul tau syiq perut kau dah menyanyi nyanyi lak pahal,worry
i understand people watch dub anime elongated_pd literally bad elongated_pd,worry
me complain napa ramai view her end world,worry
i sorry,worry
bruh sakit paleotak siel pikir group astu esaimen fk,worry
anyone else always scar overthink come lecturers like i insecure feel bad terbuat tertanya anything stupid,worry
aku ni la jarang menangis air mata suka randomly penat dah lap ni astu orang nangis plead face grin face sweat,worry
so household income kena around k kahwin,worry
i swear days nak masuk uni kalau all_caps tetiba all_caps pkp all_caps balik all_caps aku all_caps bunuh all_caps sorang all_caps yg all_caps punca all_caps spike all_caps,worry
haih sedihnya hidup skrg ni like nothing look forward anymore,worry
loudly cry face,worry
semoga jelah ni dah stock ni,worry
everyone say stop think everything fine know easy do know hard deal brain think suicide,worry
i forget childish i,worry
hopefully esok okay,worry
ya allah harini dah kali nak langgar rider foodpanda ni tau bawa elok elok nyawa awak loudly cry face,worry
ayooo i need stop all_caps emo what the fuck shit,worry
saman poor uni kid rm bukak mask sekejap saman rm random customers restaurant open mask eat what the fuck wrong police like cannot all_caps say fair,worry
i cannot refuse hm,worry
markah say bye yg lg hmmm,worry
my dad pepagi dah call sembang pasal asb emas astu kena bebel ambik loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face,worry
eh wth korang mandi kali time pkp ni elongated_qm flush face nauseate face nauseate face,worry
teliti baca skali aleuto,worry
someone kill,worry
demotivated stress serabut hidup camni pon tk tau not kid advance camne ade org not kid luah hilang hidup je la camni,worry
love leave,worry
i really hope bengkak je esok,worry
macam manalah rupa result belajar rumah berdebar pulak,worry
kelas loudly cry face loudly cry face loudly cry face,worry
dapbi meet diam,worry
staff sushi king sunway ni bisu salah hantar makanan takde sorry tanya makanan nak jalan tau bila makanan dah cakap takde takde ganti benda ya charge us service charge,worry
hari ni kes positive loudly cry face,worry
ill ok,worry
weh je pen nak plotly ni kenapa import error bahagian user name api key tu loudly cry face,worry
sampai reti nak edit slide time ni taknak belajar aiya nak kena suap payah la,worry
interview people hard i want reject someone tht really want join project,worry
nape iv pm sgt ade test esok pagi ni upside face,worry
alamak mdm jay ws alamak ws heiri,worry
mcm konfiden niii hahahaha maluuu downcast face sweat face tear joy,worry
gila tengok cv member yg dpt kerja top glove ni perform teruk elongated_pd the year dpt dean list sem sem elongated_qm elongated_em and fact ee also make tacod,worry
kalau biar kerajaan ni memerintah raya confirm kampung waknatt,worry
aaa bodonya lupa submit proposal,worry
i feel hatred towards,worry
kucing sakit ni another level sedih makan taknak,worry
i suck play weary face weary face,worry
pasal celcom ni perangai ish,worry
suppose celebrate raya father sarawak year guess happen plead face,worry
berdebar gila tunggu kes harini,worry
i hundreds ringgit go um audacity say pay,worry
i miss,worry
seraburnya pikir not kid calculation nii,worry
dekat uni kerja member nak gelabah kat rumah gelabah tau nak tire face,worry
still report days still procrastinate d,worry
video good social anxiety,worry
what happen we grow break heart,worry
what the fuck encourage org bunuh dah la paksa,worry
weh long somemore live suspense loudly cry face,worry
i wish better person pensive face,worry
aku jelous tau tengok ayep jog nak capai,worry
matter confident could never really shake nervous feel presentation elongated_pd,worry
assignment base attendance worst kind cannot let us sign attendance go back sleep elongated_qm,worry
shud buy,worry
pling fck international takleh cooperation,worry
week all_caps astu all_caps aku all_caps dah all_caps penadt all_caps maleh all_caps aku all_caps,worry
jange la demam minggu exam ni,worry
weird see women sexualize women blink eye,worry
this quarantine madness,worry
kertas ekonomi go loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face,worry
not even fcking day,worry
wehh gigi hilang,worry
all city since morning kepala pen,worry
side love painful,worry
if say girl pretty i suppose agree disagree rasa mcm salah end nak reply,worry
emmm benda sial mimpi,worry
dream come true,worry
what the fuck happen acc elongated_qm,worry
nak tidur malas bangun pulak t t,worry
yo what the fuck mmg babi la not kid prove ape mmg dah,worry
alaaa sedih tgk cermin,worry
day el go johor i go sad,worry
hwaaa nak nangis loudly cry face,worry
clingy tahap teruk everyday mesti not kid skype,worry
feel might lose another cat today,worry
hard live know nothing good,worry
jangan lahhh loudly cry face loudly cry face loudly cry face,worry
just want ask seriously curious normal skrg orang barang nak payment,worry
the number covid case decrease since malaysians selfish assholes,worry
ergh headache,worry
i scar cookie run domination like what the fuck so all_caps sudden all_caps and all_caps its all_caps like all_caps everyone all_caps start all_caps play all_caps it all_caps in all_caps unison all_caps,worry
phone takleh detect loudly cry face,worry
when things go plan yes i get piss very piss i lose sanity,worry
exam weeks,worry
october challenge ass month yo what even elongated_pd,worry
imagine strict drink drivers rapist corruption nevermind imagine bcs love fin b people clown face smile face heart eye,worry
you know struggle stay positive confident time insecure,worry
bad thoughts come elongated_pd,worry
i never enough anyone,worry
i really confuse rn,worry
best gak harini story kes skull crossbones skull crossbones,worry
esok appointment gelak gelak scroll tiktok loudly cry face upside face weary face plead face,worry
not gonna lie hurt,worry
elon musk nak affordable cars everyone reason tesla cars expensive show high status laugh my ass off amenda la,worry
hidup menyusahkan hidup orang tolong check baki tngo,worry
hm wht eh aqid merajuk,worry
please always check friend hard time time pkp never know,worry
i today years old find weigh application phone,worry
stress all_caps bodo all_caps camni all_caps hilmi all_caps please all_caps education all_caps first all_caps,worry
jahat dr softmode maleh kawan,worry
sorry sorry,worry
fuh joey ni pen kepala comlicated lak eh tnc hahahhaha,worry
welp first class belajar sem start kul la cenni,worry
be play bad lately,worry
baru second week n i already doubt brain capacity,worry
gelabah mat earphone jatuh nasib jatuh kerusi,worry
cuba ayat elok send tu orang faham cuba nak relieve face,worry
phone dah teruk dah ni huhu,worry
ever see photo someone really really pretty get sad bc never look like,worry
pray teeth,worry
char kuay teow dry fcks sake laugh my ass off go you be local chinese chef ask cook char kuay teow dry all_caps malays make char kuay teow basah disgrace true char kuay teow,worry
i feel like i far behind,worry
i think almost impossible clingy person end clingy partner always side thing appreciate find someone really care,worry
siapa yg pilih ahli politik,worry
lama kena hidup kerajaan abah ni,worry
someone help geo hypostasis please pensive face pensive face pensive face,worry
work affinity hours straight without realize barely write note half hour without nod fuck my life,worry
mata takleh bukak dah ni,worry
feel like vomit,worry
unpopular opinion salary discuss among colleagues never know discrimination towards gender race,worry
haih kepala nii nak tercabut dah,worry
buat penat sprint end bus driver isap rokok tepi,worry
dr ni assignment benda kena check hmm,worry
meluat aih masuk meet paham,worry
deym i love addmaths i would rather question rather thn make essay math major kill,worry
tksuka la ish jsjcjkskwndkwka,worry
dulu suka berangan pasal kawin takut nak kawin,worry
my favorite kedai tomyam back business plead face please take precautions critical days want go back rmo all_caps phase also i want kedai tomyam close,worry
dr ni laju live caption pon nak tangkap hmm,worry
i feel useless better dead,worry
be weather today like live fking microwave loudly cry face,worry
feel insecure body,worry
i do pergi dentist kejap istg,worry
feel super sick since morning siot,worry
i mad overload assignments final exam next week,worry
tbh i feel lonely,worry
today intern company resign proof bad treat us silap haribulan viral je dan risau viralkan,worry
okay aim extra bad today elongated_qm,worry
i sorry,worry
shortest job first break head rn,worry
no matter rich you be parent hilang tupperware kena marah,worry
survive annual sbb farahin even uni sumpah dooo kalini mmg koyak mental loudly cry face loudly cry face loudly cry face,worry
wowowo ni berkicap nak drive gini,worry
hmm takut,worry
break heart better love,worry
let us real nap hit online class wide awake,worry
exam minggu kelam kabut belajar nak rush je belajar,worry
memang nak sakit okay sakit,worry
jangan tetiba taknak tidur dah,worry
i realize mood affect business no mood customers no positivity customers customers ws close sale,worry
adulting tire,worry
friendly reminder jgn nervous sgt pasal upu nnti masuk dlm mimpi goodnight,worry
never demotivated life,worry
jauh mat nak gi makan lepasni,worry
bukan harap takjadi malas nak ni,worry
weekend ni nak chill dgn family focus ramadan tetiba panic kena cari patient loudly cry face,worry
babi pandai la bhgikan eyy penat sial kumpul astu pinjam pale otak,worry
slow nya alahai internet ni memalam cane nak test ni woiii,worry
do k skippings straight set damn use k what happen loudly cry face,worry
be among us server ni teruk giler asyik kena disconnect,worry
rse sedap hatii,worry
macam manalah rupa result belajar rumah berdebar pulak,worry
at want rich feel like ah duniawi je ni hahsjsjajshs face tear joy,worry
allahu tengok dah gatal i use methasone dr suggest since school tapi tu steroid so takleh pakai but pakai mmg cure esoknya but mine hilang dtg maybe habuk kotor,worry
sakit kepala dah worry face,worry
kid discover omegle elongated_pd laugh out loud,worry
takut pasal woman get massage light skin tone woman get massage light skin tone,worry
ok dahla tu dr saya dah focus jam,worry
sesungguhnya time exam berlaku kau fuck gila,worry
i hope everything okay,worry
anxiety reaaalllyyy suck huhu,worry
i stop reward nap online lecture weary face,worry
i feel fuck disgust rn elongated_pd everyone else struggle make end meet bunch fuck disgust people make illegal money like elongated_pd,worry
just correct people mindset health director general health minister separate entities dg all_caps gov servant consult gov regard health issue decision maker minister decision maker i understand hate towards dg all_caps,worry
racists sexists everywhere lord,worry
need sleep soon possible attack come,worry
asal la bodo ni tertinggal kunci tu,worry
udah la fiq,worry
i ready mentally emotionally depress home elongated_pd,worry
just finish play badminton i class tomorrow watch sleep class skull,worry
i think elongated_pd i think do shit loudly cry face loudly cry face,worry
if i hutang anyone dm claim takut terlupa grin face sweat,worry
lowkey nervous anxious face sweat,worry
babi ye internet ni nak dc meet dgr robot,worry
i bad student,worry
perasaan lepas send email lecturer fyp ni gigil send risky text crush,worry
kat usm mechy susah sngt yg bodo nii,worry
tolong ade org sunyi,worry
kalau raffle ni tau nak cakap ape la,worry
people sorry get catch,worry
i lose kind lot blood,worry
think plan siblings get dad new laptop get laptop research tough guess specs suit dad best think face think face think face,worry
dahlah malas ah elongated_pd sumpah tgk slightly smile face,worry
sejak kebelakangan ni kereta bawak fundek ni plate a ea,worry
maybe i worth anyone love,worry
cmon fiq suck,worry
i cannot elongated_pd sigh,worry
korang fokus tu class,worry
takut terbiasa dosa anggap dosa tu normal things orang loudly cry face loudly cry face loudly cry face loudly cry face,worry
gais aku kumpul duit sikit lepas komisyen dah keluarkan duit weh camne nak dapatkan eh weh duit ni and punca elongated_pd,worry
class overwhelm i scar i yg blur face face class loudly cry face,worry
entahler cam gigih ko ni tau,worry
the pretend go hurt,worry
no all_caps stop all_caps what all_caps be all_caps this all_caps thread all_caps it all_caps make all_caps me all_caps not all_caps want get all_caps marry all_caps,worry
setiap kali jumpa doctor kena ceramah sah aku tahan je nak nangis ni,worry
ni penyabar bersabar pensive face,worry
weh rain elongated_pd anxious face sweat anxious face sweat anxious face sweat,worry
tak tenang gue dpt email ni,worry
nak tolong lupa nama man facepalming,worry
biasa ah tu kalah mc kalah haritu kena kecam teruk gak astu mc next game membantai lak,worry
penyakit compare orang lepastu sedih aih tire face weary face,worry
kes waknat tertinggi,worry
kluster taman laut km radius place today get people test positive star strike star strike,worry
almost catch fever,worry
a girl call pretty i sure compliment loudly cry face,worry
time nak siapkan kerja ngantuk loudly cry face upside face,worry
allahu elongated_pd kena gitau umi ni,worry
sampai rumah perasan duit habis termenung kejap,worry
ko tengok time orang banjir ni bantuan kerajaan elongated_qm elongated_em duit masuk poket memasing jeke elongated_qm,worry
headache till,worry
go straight nose loudly cry face i sorry i better next time loudly cry face maybe always think loudly cry face raise hand light skin tone,worry
i think i go get fat stay home college,worry
masih tidur class grin face,worry
an spm all_caps leaver ask actuarial science reply demotivating hmm,worry
random wave sadness like reason whut,worry
kes muncul kluster oh my god,worry
i sorry i like use know,worry
dear tear stop,worry
megat hntr note actuarial maths skek the amount word equations loudly cry face,worry
weird feel empty sad without reason,worry
apa bodoh sial politik malaysia budak main kahwin petang harini kahwin orang ni esok kahwin orang,worry
strict parent raise good liar but strict setan pulak think face,worry
memasing stress gi,worry
harap um sme mcm feseni bende dah tau bagitau lambat gak,worry
cuak pulak not kid kena ujian ni dh la lupa habis,worry
sakit loudly cry face,worry
la sedap hati,worry
cuti kerja,worry
what i actually rather ask bout life,worry
laugh out loud ni jgk muncul habis la kena time,worry
aaa all_caps sbb all_caps tu all_caps aku all_caps takut all_caps nak all_caps mintakkk all_caps loudly cry face,worry
dah fam kena marah lak,worry
addict unhealthy habit,worry
be possible concern petty things care much,worry
nowadays i cannot tell i nice people i hurt people i cannot tell i people i burden people,worry
stress la not kid tidur tau ni group taknk hntr video,worry
have mental crisis hour suck,worry
sakitnya hati tu lupa,worry
life tire sometimes,worry
bagi rm je bekal data sem ni sebulan je mintak mak wkwkwkwkw,worry
test jumaat presentation jumaat report jumaat sumbatla jumaat,worry
dah kali salah post ni,worry
memang nak ganti ya allah slightly smile face,worry
today good day,worry
try fail every single time,worry
badan kecik pon susah nenek tu confuse adik bongsu pensive face,worry
tell sleep thoughts anxieties,worry
alamak haa tepuk ni tepuk amai amai plk loudly cry face loudly cry face loudly cry face loudly cry face,worry
still disappoint,worry
tinggal skolah je nak approve letter hrap senang la nak collaborate ni,worry
my list regret get longer hmmm,worry
assignment nak hantar esok nak habis drama cina ni loudly cry face loudly cry face loudly cry face,worry
i concern mood swing woozy face,worry
tak selesa nya ulser lidah ni loudly cry face nak cakap pelat kahkahkah,worry
fk takde mood,worry
dapat info ahad ni kena kerja dah sumbat resume i work days straight row underpay overwork beat mofos elongated_em,worry
please laaa second half year pleaseee good loudly cry face,worry
the all_caps pain all_caps when all_caps i try all_caps to all_caps go all_caps back all_caps to all_caps bed all_caps to all_caps continue all_caps but all_caps it all_caps work all_caps,worry
my eye get dry lately betray surgery please i get time play,worry
eyy all_caps eyyy all_caps arghhh all_caps face steam nose smile face heart eye loudly cry face,worry
oof amount data i use elearning rip all_caps save,worry
forget recite alkahf today k kengkawan kalau nak kawan face steam nose index point light skin tone,worry
ayah amek besok,worry
use proud live hours sleep realise depress probably root anxiety melatonin hormone regulator stuff,worry
makin susah lak nak cari glass clear laugh out loud,worry
tetiba arwah atok sanggup pokok manggis dgn buah duku lepak kat tangga isap rokok daun raya borak makan skali skarang suasana sunyi je time raya,worry
bank account get real close buy dad birthday present eye droplet mouth droplet eye,worry
tomorrow go tire day tongue_emom laugh,worry
stress nyaa bnyk kerjaaa,worry
harini k mampos,worry
tau la nak tiru offwhite la tag tu lekat tongue tu haish,worry
in end i disappointment everyone else,worry
tiktok fyp sad philosophical,worry
haih tetiba stress,worry
edit video suck,worry
i sinner keep make sin,worry
be headache days,worry
ask mom ipad instead ipad ask beli motor smile face tear taktau leh kumpul duit hahshagsga,worry
fuck day without spec make blind,worry
ok nangis nowhere,worry
malas nak benda sleep face,worry
i guess i really need go medical check,worry
bold constantly use phrase worry i fact constantly full many worry,worry
awal cakap english lepastu tamil habis video loudly cry face loudly cry face loudly cry face loudly cry face loudly cry face,worry
selama ni ingatkan ariana nyanyi laugh out loud,worry
good night malaysian genap mh all_caps,worry
i think i give,worry
need stop bad habit say i happy pics people take clearly i problem problem fix pensive face,worry
so lose virginity exactly year ago,worry
nakram bau river cruise dah loji,worry
my dumb ass pegi ckp kt felo like dat,worry
kita duduk malaysia ni humidifier eh elongated_qm elongated_em,worry
at time kadang sial gak tetiba,worry
everything i touch die fuck,worry
bukan yg duk online shop mak duk beria ni online shop cod woman facepalming,worry
dah buka ml all_caps tetiba je cousin dah solo push masuk mythic what the fuck lek sia man get massage light skin tone,worry
nak muntah go work,worry
still debate i pick right degree elongated_pd,worry
why i insecure i need stop persevere face,worry
what wrong oh my god,worry
oomfs meanest commenters internet what the fuck hope never meet i would get social anxiety max all_caps,worry
result,worry
you even belong earth,worry
nak rumah tapi hujan lebat af hmm,worry
fearless adui,worry
life all_caps issa all_caps scam all_caps,worry
note self do read manga eventually stop,worry
tolong salah taktolong salah,worry
me dead,worry
my head hurt much can i let go quiz bukannya markah man get massage light skin tone,worry
give situation allow go back uni first weeks would online class what would,worry
hey cakap lepas think wuu,worry
rainy nose since wake total hingus volume separuh liter kot sneeze face,worry
i need sleep cannot,worry
orang breakout je struggle nak skin elok,worry
i maybe overreact kind disappoint cannot even follow simple sop then i surprise man shrug light skin tone,worry
sbb suka susahkan org org risau mb,worry
penat nyah kali nak masukkan duplicate woman get massage light skin tone woman get massage light skin tone woman get massage light skin tone woman get massage light skin tone woman get massage light skin tone,worry
risau gila loudly cry face,worry
why i talented smart like friends pensive face,worry
je k case today stay safe everyone forget wear mask wash you be hand frequently,worry
oh harini public exploit taktahu wujud public holiday malaysia ni,worry
id probably hate,worry
life suck,worry
body cramp you be period joke huh,worry
emosi teruk ni woman get massage light skin tone,worry
kenapa bayar class kena terhegeh kejar pointer eh pensive face pensive face pensive face,worry
memang ngam time nak discussion la mic rosak,worry
lepas ni parti nama jawi,worry
mampus kena bunuh dgn ida jap ni,worry
bila nak ni esok lab test loudly cry face,worry
sumpah minat belajar regression part teori ni,worry
celcom ni babi la time present l kau,worry
asal tegur gelap ni hmmm,worry
oh wait i sleep hours,worry
baru semalam mintak soalan cod pagi ni cod geng loudly cry face loudly cry face loudly cry face,worry
hm ajak genting dah start intern,worry
i could relate you be tweet intellectual ones even stupid horny ones,worry
stop cry fuckin dumbass,worry
i like,worry
cuba bayangkan adik daftar subjek pagi lepastu dpt news takleh um all_caps,worry
not haziq make pkp deep like last remain days alive,worry
strive melancholic emotion hard,worry
hari dah kena reject kali,worry
i smile much right,worry
sunday thoughts kenapa kena kerja cuti je buncangkan think face,worry
gastric worst,worry
kes dah merata negara menteri cakap membimbangkan,worry
ya allah sebak pulak dengar suara mak frown face,worry
rmk primogems literally gamble addiction honey,worry
i reaaalllyyy need learn self control woozy face,worry
ntahla malam kerja time elearning ni berdosa je,worry
i fuck everything,worry
i ask friends though actually pasal ni i think kurus she look different seriously,worry
apa dr nak ni dunia dah bijak dah benda dah,worry
pon kena cop flirt,worry
not kid nangis nervous sbb nii elongated_pd aiyoo control nii,worry
ngam mama ajak kg time test smile face tear,worry
baru bangun taktahu malam ni nak tidur smile face tear upside face,worry
menurut anggaran terkini ekor orangutan sahaja tinggal malaysia puliharalah haiwan khazanah,worry
takleh tidur,worry
what rile people think islamophobia little big act violence someone get hijab rip someone business get vandalize someone get hurt yes even kill,worry
try hold tear haha mak nak rindu mak,worry
i hungry cannot sleep,worry
markers vscode give anxiety cap,worry
i like elongated_pd,worry
